Date,Close
1/6/2020 16:00:00,69.11
1/7/2020 16:00:00,70.2
1/8/2020 16:00:00,70.46
1/9/2020 16:00:00,71.03
1/10/2020 16:00:00,70.86
1/13/2020 16:00:00,71.64
1/14/2020 16:00:00,72.47
1/15/2020 16:00:00,71.6
1/16/2020 16:00:00,72.62
1/17/2020 16:00:00,72.48
1/21/2020 16:00:00,72.13
1/22/2020 16:00:00,72.38
1/23/2020 16:00:00,72.59
1/24/2020 16:00:00,71.88
1/27/2020 16:00:00,71.31
1/28/2020 16:00:00,72.02
1/29/2020 16:00:00,71.8
1/30/2020 16:00:00,71.14
1/31/2020 16:00:00,70.18
2/3/2020 16:00:00,70.48
2/4/2020 16:00:00,73
2/5/2020 16:00:00,70.51
2/6/2020 16:00:00,71.55
2/7/2020 16:00:00,70.09
2/10/2020 16:00:00,70.17
2/11/2020 16:00:00,70.32
2/12/2020 16:00:00,70.77
2/13/2020 16:00:00,69.6
2/14/2020 16:00:00,68.83
2/18/2020 16:00:00,66.64
2/19/2020 16:00:00,67.07
2/20/2020 16:00:00,66.74
2/21/2020 16:00:00,65.94
2/24/2020 16:00:00,63.93
2/25/2020 16:00:00,63.58
2/26/2020 16:00:00,63.94
2/27/2020 16:00:00,60.89
2/28/2020 16:00:00,62.2
3/2/2020 16:00:00,64.16
3/3/2020 16:00:00,63.18
3/4/2020 16:00:00,64.79
3/5/2020 16:00:00,63.44
3/6/2020 16:00:00,63.12
3/9/2020 16:00:00,58.53
3/10/2020 16:00:00,60.33
3/11/2020 16:00:00,57.79
3/12/2020 16:00:00,52.57
3/13/2020 16:00:00,56.32
3/16/2020 16:00:00,51.68
3/17/2020 16:00:00,55.2
3/18/2020 16:00:00,54.79
3/19/2020 16:00:00,55.4
3/20/2020 16:00:00,53.06
3/23/2020 16:00:00,52.9
3/24/2020 16:00:00,57
3/25/2020 16:00:00,57.68
3/26/2020 16:00:00,60.5
3/27/2020 16:00:00,59.32
3/30/2020 16:00:00,60.17
3/31/2020 16:00:00,59.18
4/1/2020 16:00:00,56.85
4/2/2020 16:00:00,58.91
4/3/2020 16:00:00,57.48
4/6/2020 16:00:00,60.87
4/7/2020 16:00:00,60.66
4/8/2020 16:00:00,62.11
4/9/2020 16:00:00,61.58
4/13/2020 16:00:00,60.09
4/14/2020 16:00:00,61.43
4/15/2020 16:00:00,62.07
4/16/2020 16:00:00,62.24
4/17/2020 16:00:00,64.44
4/20/2020 16:00:00,63.55
4/21/2020 16:00:00,62.05
4/22/2020 16:00:00,62.68
4/23/2020 16:00:00,62.06
4/24/2020 16:00:00,62.96
4/27/2020 16:00:00,63.45
4/28/2020 16:00:00,62.92
4/29/2020 16:00:00,64.58
4/30/2020 16:00:00,64.25
5/1/2020 16:00:00,62.73
5/4/2020 16:00:00,61.94
5/5/2020 16:00:00,63.39
5/6/2020 16:00:00,63.95
5/7/2020 16:00:00,64.37
5/8/2020 16:00:00,65.51
5/11/2020 16:00:00,65.97
5/12/2020 16:00:00,65.59
5/13/2020 16:00:00,62.78
5/14/2020 16:00:00,63.66
5/15/2020 16:00:00,64.01
5/18/2020 16:00:00,64.07
5/19/2020 16:00:00,63.05
5/20/2020 16:00:00,63.17
5/21/2020 16:00:00,62.74
5/22/2020 16:00:00,63.24
5/26/2020 16:00:00,62.18
5/27/2020 16:00:00,62.97
5/28/2020 16:00:00,64.58
5/29/2020 16:00:00,64.76
6/1/2020 16:00:00,65.49
6/2/2020 16:00:00,66.75
6/3/2020 16:00:00,66.79
6/4/2020 16:00:00,66.18
6/5/2020 16:00:00,67.31
6/8/2020 16:00:00,68.56
6/9/2020 16:00:00,68.45
6/10/2020 16:00:00,70.51
6/11/2020 16:00:00,67.37
6/12/2020 16:00:00,68.29
6/15/2020 16:00:00,69.73
6/16/2020 16:00:00,69.35
6/17/2020 16:00:00,71.58
6/18/2020 16:00:00,71.55
6/19/2020 16:00:00,70.98
6/22/2020 16:00:00,71.71
6/23/2020 16:00:00,71.64
6/24/2020 16:00:00,70.65
6/25/2020 16:00:00,71
6/26/2020 16:00:00,69.68
6/29/2020 16:00:00,68.72
6/30/2020 16:00:00,69.13
7/1/2020 16:00:00,70.39
7/2/2020 16:00:00,70.23
7/6/2020 16:00:00,70.53
7/7/2020 16:00:00,69.16
7/8/2020 16:00:00,69.79
7/9/2020 16:00:00,71.53
7/10/2020 16:00:00,73.94
7/13/2020 16:00:00,74.36
7/14/2020 16:00:00,74.52
7/15/2020 16:00:00,76.83
7/16/2020 16:00:00,76.8
7/17/2020 16:00:00,76.08
7/20/2020 16:00:00,78.18
7/21/2020 16:00:00,77.31
7/22/2020 16:00:00,77.35
7/23/2020 16:00:00,76.42
7/24/2020 16:00:00,76.46
7/27/2020 16:00:00,78.53
7/28/2020 16:00:00,77.62
7/29/2020 16:00:00,78.35
7/30/2020 16:00:00,78.52
7/31/2020 16:00:00,77.96
8/3/2020 16:00:00,81.27
8/4/2020 16:00:00,83.37
8/5/2020 16:00:00,81.25
8/6/2020 16:00:00,80.47
8/7/2020 16:00:00,80.03
8/10/2020 16:00:00,80.05
8/11/2020 16:00:00,79.33
8/12/2020 16:00:00,80.74
8/13/2020 16:00:00,82.67
8/14/2020 16:00:00,82.93
8/17/2020 16:00:00,83.45
8/18/2020 16:00:00,82.98
8/19/2020 16:00:00,81.1
8/20/2020 16:00:00,79.41
8/21/2020 16:00:00,78.75
8/24/2020 16:00:00,79.77
8/25/2020 16:00:00,79.37
8/26/2020 16:00:00,81.12
8/27/2020 16:00:00,80.42
8/28/2020 16:00:00,79.39
8/31/2020 16:00:00,78.64
9/1/2020 16:00:00,79.5
9/2/2020 16:00:00,79.49
9/3/2020 16:00:00,77.38
9/4/2020 16:00:00,77.66
9/8/2020 16:00:00,76.01
9/9/2020 16:00:00,77.48
9/10/2020 16:00:00,76.5
9/11/2020 16:00:00,77.02
9/14/2020 16:00:00,77.72
9/15/2020 16:00:00,76.46
9/16/2020 16:00:00,76.99
9/17/2020 16:00:00,77.61
9/18/2020 16:00:00,78.96
9/21/2020 16:00:00,78.27
9/22/2020 16:00:00,78.7
9/23/2020 16:00:00,77.33
9/24/2020 16:00:00,77.78
9/25/2020 16:00:00,77.26
9/28/2020 16:00:00,77.28
9/29/2020 16:00:00,77.48
9/30/2020 16:00:00,76.75
10/1/2020 16:00:00,76.45
10/2/2020 16:00:00,74
10/5/2020 16:00:00,75.07
10/6/2020 16:00:00,73.54
10/7/2020 16:00:00,73.37
10/8/2020 16:00:00,74.13
10/9/2020 16:00:00,74.55
10/12/2020 16:00:00,74.59
10/13/2020 16:00:00,74.69
10/14/2020 16:00:00,74.41
10/15/2020 16:00:00,73.27
10/16/2020 16:00:00,72.67
10/19/2020 16:00:00,72.93
10/20/2020 16:00:00,75.57
10/21/2020 16:00:00,74.64
10/22/2020 16:00:00,74.6
10/23/2020 16:00:00,75.43
10/26/2020 16:00:00,76.2
10/27/2020 16:00:00,77.47
10/28/2020 16:00:00,81.6
10/29/2020 16:00:00,83.43
10/30/2020 16:00:00,83.66
11/2/2020 16:00:00,85.5
11/3/2020 16:00:00,86.41
11/4/2020 16:00:00,86.41
11/5/2020 16:00:00,90.39
11/6/2020 16:00:00,89.39
11/9/2020 16:00:00,86.61
11/10/2020 16:00:00,85.91
11/11/2020 16:00:00,88.09
11/12/2020 16:00:00,87.11
11/13/2020 16:00:00,89.72
11/16/2020 16:00:00,90.45
11/17/2020 16:00:00,89.71
11/18/2020 16:00:00,88.25
11/19/2020 16:00:00,88.85
11/20/2020 16:00:00,89.98
11/23/2020 16:00:00,89.79
11/24/2020 16:00:00,90.8
11/25/2020 16:00:00,93.23
11/27/2020 13:00:00,94.07
11/30/2020 16:00:00,93.29
12/1/2020 16:00:00,94.68
12/2/2020 16:00:00,92.62
12/3/2020 16:00:00,93.83
12/4/2020 16:00:00,94.4
12/7/2020 16:00:00,93.36
12/8/2020 16:00:00,93.37
12/9/2020 16:00:00,94.13
12/10/2020 16:00:00,94.09
12/11/2020 16:00:00,94.68
12/14/2020 16:00:00,93.37
12/15/2020 16:00:00,94.15
12/16/2020 16:00:00,95.11
12/17/2020 16:00:00,97.02
12/18/2020 16:00:00,98.71
12/21/2020 16:00:00,99.4
12/22/2020 16:00:00,97.46
12/23/2020 16:00:00,97.46
12/24/2020 13:00:00,96.84
12/28/2020 16:00:00,97.95
12/29/2020 16:00:00,100.43
12/30/2020 16:00:00,100.78
12/31/2020 16:00:00,101.1
1/4/2021 16:00:00,100.07
